river_id,pixel_count,area_m2,area_ha,min_row,max_row,min_col,max_col,bbox_min_x,bbox_min_y,bbox_max_x,bbox_max_y
59,172020127,8659457035.363058,865945.7035363058,0,8003,0,36323,-162.11824067282274,59.41583053306292,-158.8552900663154,60.13475225494377
37,387059,19484468.70202921,1948.446870202921,0,2426,5913,14072,-161.58706684532285,59.91682096701637,-160.85413140500975,60.13475225494377
20154,83461,4201409.196892618,420.1409196892618,4088,4387,3688,4199,-161.78694199603945,59.74066133980054,-161.74103808502096,59.76752096679571
17918,83401,4198388.809504335,419.8388809504335,3262,3498,1889,2491,-161.94854891565257,59.82052156855876,-161.89447033554856,59.84172180926398
44,62659,3154240.889374613,315.4240889374613,0,308,7858,9218,-161.41234452256165,60.10708414419289,-161.29017364392135,60.13475225494377
9144,58342,2936924.016787591,293.6924016787591,1547,1855,0,473,-162.11824067282274,59.9681147697396,-162.07575035988387,59.99578288049048
7845,46412,2336370.3244171552,233.63703244171552,1301,1748,5029,5566,-161.66647791643902,59.97772674327968,-161.61823838568182,60.01788143647982
4261,45657,2298363.783114584,229.8363783114584,695,1035,2576,4299,-161.88683465563355,60.0417766230374,-161.73205493217975,60.07231934269746
3205,45536,2292272.6685482115,229.22726685482115,525,674,3433,3861,-161.8098490357845,60.07420580479411,-161.77140114162418,60.08759070252749
31,45199,2275308.159384017,227.5308159384017,0,362,5160,6347,-161.65470998621706,60.102233241658645,-161.54807996199207,60.13475225494377
14790,44081,2219028.274382328,221.9028274382328,2480,2793,2958,3936,-161.85251901178017,59.88385279608919,-161.7646637769933,59.91197006448213
20924,43570,2193304.641792111,219.3304641792111,4326,4488,2801,3323,-161.86662256174083,59.73158835543093,-161.81973050390982,59.74614106303366
26294,43455,2187515.565964567,218.7515565964567,7354,7651,10996,11585,-161.1304531864049,59.44745123106392,-161.07754241617027,59.47413119500227
8254,41729,2100629.088761602,210.0629088761602,1379,1579,2649,3014,-161.88027695405947,59.9929082715813,-161.84748844618912,60.010874577263685
21344,38145,1920211.282101448,192.0211282101448,4473,4708,2701,3166,-161.87560571458206,59.7118254191803,-161.8338340538705,59.73293582835711
23597,37963,1911049.4403569864,191.10494403569865,5527,5677,3152,3634,-161.83509169526826,59.62477866814912,-161.7917928985737,59.638253397410914
17153,35432,1783639.4323612135,178.36394323612137,2964,3149,2995,3335,-161.84919524522894,59.85187277197453,-161.8186525255689,59.86849160473074
5253,34440,1733702.3608749209,173.3702360874921,855,1299,4134,5197,-161.74687713436774,60.018061099536645,-161.65138621966582,60.05794629815155
2774,32817,1652000.8820218432,165.20008820218433,454,1478,14103,15728,-160.85134662762897,60.0019812559509,-160.70537039395956,60.09396874104474
8097,32762,1649232.193582583,164.9232193582583,1346,1579,0,521,-162.11824067282274,59.9929082715813,-162.07143844652012,60.01383901770128
23154,31879,1604782.1591850058,160.47821591850058,5217,5425,2697,3011,-161.8759650406957,59.64741621330893,-161.84775794077436,59.66610117121861
13364,31326,1576944.2554229898,157.69442554229897,2231,2470,2793,3132,-161.86734121396816,59.912868379766245,-161.8368883258365,59.934338115056704
26988,31149,1568034.1126275526,156.80341126275525,7718,8003,10304,12186,-161.192616604066,59.41583053306292,-161.02355366759468,59.44143251866032
14682,29823,1501283.55134648,150.128355134648,2462,2631,2245,2962,-161.9165688915379,59.898405503691926,-161.85215968566652,59.91358703199354
12258,28891,1454366.867248471,145.43668672484708,2049,2288,3183,3762,-161.83230691788748,59.92921771793722,-161.78029446293698,59.95068745322768
6677,28562,1437805.0764027145,143.78050764027145,1087,1258,2504,3022,-161.89330252567922,60.02174419220153,-161.8467697939618,60.037105383559975
18439,28154,1417266.4421623845,141.72664421623844,3481,3674,1358,1734,-161.99624945723932,59.80471121955826,-161.96247280255642,59.82204870454176
17877,26837,1350968.9389895543,135.09689389895544,3247,3368,2552,2869,-161.88899061231544,59.83219966725232,-161.86051401780884,59.84306928219016
12552,23719,1194009.4743784044,119.40094743784044,2099,2303,2756,3196,-161.8706649805194,59.92787024501104,-161.83113910801814,59.94619587680708
7426,23437,1179813.6536534703,117.98136536534705,1228,1452,5291,5916,-161.6429420559951,60.00431687568962,-161.58679735073764,60.02443913805389
24534,22868,1151170.3132545787,115.11703132545787,6258,6395,4001,4345,-161.75882472764653,59.560279630749335,-161.7279226818728,59.57258655014177
25095,22662,1140800.316554804,114.0800316554804,6711,6867,4449,4738,-161.71858020291796,59.517879149338896,-161.6926188912069,59.53189286777116
12823,22428,1129020.8057404973,112.90208057404972,2144,2549,6428,6919,-161.5408036081907,59.905771689021705,-161.49669632774044,59.94215345802854
14341,22007,1107827.7542327058,110.78277542327058,2407,2566,760,1211,-162.04996871122964,59.9042445530387,-162.00945469191586,59.9185277660562
8352,21442,1079385.7729930328,107.93857729930328,1401,2105,7303,8980,-161.46220102083024,59.94565688763661,-161.31155354768342,60.00889828363862
27308,21387,1076617.0845537728,107.66170845537728,7869,8003,8144,8470,-161.3866527054358,59.41583053306292,-161.3573676271735,59.42786795787012
13539,21151,1064736.8941598565,106.47368941598565,2260,2375,3194,3458,-161.83131877107496,59.92140237496538,-161.8076032475742,59.93173300073276
10073,20020,1007802.591890706,100.7802591890706,1706,1939,2504,2979,-161.89330252567922,59.960568921352994,-161.85063254968352,59.98149966747298
24906,19891,1001308.7590058958,100.1308759005896,6580,6768,4257,4572,-161.73582785637305,59.52677247065168,-161.7075309249233,59.54366079799313
