river_id,pixel_count,area_m2,area_ha,skeleton_length,linearity_index,compactness,min_row,max_row,min_col,max_col,bbox_min_x,bbox_min_y,bbox_max_x,bbox_max_y
20,387059,19484468.70202921,1948.446870202921,79244,127.37312504936867,1157.8826483817713,0,2426,5913,14072,-161.58706684532285,59.91682096701637,-160.85413140500975,60.13475225494377
4134,83461,4201409.196892618,420.1409196892618,2382,8.245176659039599,31.444626831693846,4088,4387,3688,4199,-161.78694199603945,59.74066133980054,-161.74103808502096,59.76752096679571
3805,83401,4198388.809504335,419.83888095043346,2497,8.646352026402122,33.68036354480162,3262,3498,1889,2491,-161.94854891565257,59.82052156855876,-161.89447033554856,59.84172180926398
22,62659,3154240.889374613,315.4240889374613,11445,45.721878711937656,177.61049490097193,0,308,7858,9218,-161.41234452256163,60.10708414419289,-161.29017364392135,60.13475225494377
2049,58342,2936924.016787591,293.6924016787591,7061,29.233145962623155,41.81968393267286,1547,1855,0,473,-162.11824067282274,59.9681147697396,-162.07575035988387,59.99578288049048
1764,46412,2336370.3244171552,233.63703244171552,8727,40.50884253301552,83.44876325088339,1301,1748,5029,5566,-161.66647791643902,59.977726743279675,-161.61823838568182,60.01788143647982
954,45657,2298363.7831145837,229.83637831145836,7111,33.279515329552225,372.86453336837724,695,1035,2576,4299,-161.88683465563355,60.0417766230374,-161.73205493217975,60.07231934269746
713,45536,2292272.6685482115,229.22726685482115,2135,10.005077110655451,29.245344342937457,525,674,3433,3861,-161.8098490357845,60.07420580479411,-161.77140114162418,60.08759070252749
17,45199,2275308.159384017,227.5308159384017,7555,35.536123904080384,212.3410694926879,0,362,5160,6347,-161.65470998621706,60.102233241658645,-161.54807996199207,60.13475225494377
3191,44081,2219028.274382328,221.9028274382328,5721,27.24872768256354,151.23803906444954,2480,2793,2958,3936,-161.85251901178017,59.88385279608919,-161.7646637769933,59.91197006448213
4298,43570,2193304.641792111,219.3304641792111,1828,8.757545682469322,42.952123020426896,4326,4488,2801,3323,-161.86662256174085,59.73158835543093,-161.81973050390982,59.74614106303366
5205,43455,2187515.565964567,218.7515565964567,1423,6.826294535759689,72.25829018524911,7354,7651,10996,11585,-161.1304531864049,59.44745123106392,-161.07754241617027,59.47413119500227
1855,41729,2100629.088761602,210.0629088761602,2560,12.532017037542689,30.599822665292724,1379,1579,2649,3014,-161.88027695405947,59.9929082715813,-161.84748844618912,60.010874577263685
4400,38145,1920211.2821014477,192.02112821014478,3496,17.899982827939517,51.38288111154804,4473,4708,2701,3166,-161.87560571458206,59.7118254191803,-161.8338340538705,59.73293582835711
4797,37963,1911049.4403569866,191.10494403569865,1070,5.491658405315391,42.08560967257593,5527,5677,3152,3634,-161.83509169526826,59.62477866814912,-161.7917928985737,59.638253397410914
3662,35432,1783639.4323612137,178.36394323612137,2472,13.132597468858542,31.115940392865205,2964,3149,2995,3335,-161.84919524522894,59.851872771974534,-161.81865252556887,59.86849160473074
1188,34440,1733702.3608749209,173.3702360874921,7310,39.389984105751246,263.7687572590012,855,1299,4134,5197,-161.74687713436774,60.018061099536645,-161.65138621966582,60.05794629815155
612,32817,1652000.8820218432,165.20008820218433,7990,44.10596624773607,855.3129170856569,454,1478,14103,15728,-160.85134662762897,60.0019812559509,-160.70537039395956,60.09396874104474
1817,32762,1649232.193582583,164.9232193582583,4701,25.971979308001615,69.41163543129235,1346,1579,0,521,-162.11824067282274,59.9929082715813,-162.07143844652012,60.01383901770128
4721,31879,1604782.1591850058,160.47821591850058,1814,10.159794832382456,34.18978010602591,5217,5425,2697,3011,-161.8759650406957,59.64741621330893,-161.84775794077436,59.666101171218614
2876,31326,1576944.2554229898,157.69442554229897,2304,13.017572435319552,42.65900529911256,2231,2470,2793,3132,-161.86734121396816,59.912868379766245,-161.8368883258365,59.934338115056704
5315,31149,1568034.1126275526,156.80341126275525,4481,25.389426410421148,603.0227615653793,7718,8003,10304,12186,-161.192616604066,59.415830533062916,-161.02355366759468,59.44143251866032
3164,29823,1501283.55134648,150.128355134648,4357,25.22968891663214,105.2873285719076,2462,2631,2245,2962,-161.9165688915379,59.898405503691926,-161.85215968566652,59.91358703199354
2651,28891,1454366.867248471,145.43668672484708,2656,15.62596270960345,92.64116852999204,2049,2288,3183,3762,-161.83230691788748,59.92921771793722,-161.78029446293698,59.95068745322768
1509,28562,1437805.0764027145,143.78050764027145,2554,15.11216147842861,66.48287935018556,1087,1258,2504,3022,-161.89330252567922,60.02174419220153,-161.8467697939618,60.037105383559975
3889,28154,1417266.4421623845,141.72664421623844,2999,17.87336863168855,45.998579242736376,3481,3674,1358,1734,-161.99624945723932,59.80471121955826,-161.96247280255642,59.822048704541764
3797,26837,1350968.9389895543,135.09689389895544,1355,8.271272177621809,28.593956105376904,3247,3368,2552,2869,-161.88899061231544,59.83219966725232,-161.86051401780884,59.843069282190164
2712,23719,1194009.4743784044,119.40094743784044,2437,15.823674533596272,69.9415658332982,2099,2303,2756,3196,-161.8706649805194,59.92787024501104,-161.83113910801814,59.94619587680708
1674,23437,1179813.6536534703,117.98136536534703,3324,21.712508681357903,123.01932841233946,1228,1452,5291,5916,-161.6429420559951,60.00431687568962,-161.58679735073764,60.02443913805389
4943,22868,1151170.3132545787,115.11703132545787,1063,7.0294148213384755,40.46895224768235,6258,6395,4001,4345,-161.75882472764653,59.560279630749335,-161.7279226818728,59.57258655014177
5027,22662,1140800.316554804,114.08003165548041,672,4.463958571923655,34.95278439678757,6711,6867,4449,4738,-161.71858020291796,59.517879149338896,-161.6926188912069,59.53189286777116
2772,22428,1129020.8057404973,112.90208057404973,4362,29.126639965815393,143.18102372034957,2144,2549,6428,6919,-161.5408036081907,59.905771689021705,-161.49669632774044,59.94215345802854
3087,22007,1107827.7542327058,110.78277542327058,3120,21.03169002428031,67.63302585540964,2407,2566,760,1211,-162.04996871122964,59.9042445530387,-162.00945469191586,59.9185277660562
1882,21442,1079385.7729930328,107.93857729930328,6828,46.62951159462242,1057.580636134689,1401,2105,7303,8980,-161.46220102083024,59.94565688763661,-161.31155354768342,60.00889828363862
5362,21387,1076617.0845537728,107.66170845537728,2578,17.62820037203112,39.57544302613737,7869,8003,8144,8470,-161.3866527054358,59.415830533062916,-161.3573676271735,59.42786795787012
2921,21151,1064736.8941598563,106.47368941598563,1113,7.6529647282267765,27.164862181457142,2260,2375,3194,3458,-161.83131877107496,59.92140237496538,-161.8076032475742,59.931733000732756
2235,20020,1007802.5918907061,100.7802591890706,2687,18.9904663499297,100.15264735264735,1706,1939,2504,2979,-161.89330252567922,59.960568921352994,-161.85063254968352,59.98149966747298
4994,19891,1001308.7590058958,100.13087590058959,2888,20.47712022888305,50.8790910462018,6580,6768,4257,4572,-161.73582785637305,59.52677247065168,-161.7075309249233,59.54366079799313
2361,18883,950566.2508827273,95.05662508827274,2880,20.958345293993695,75.75152253349573,1805,1974,3459,3888,-161.8075134160458,59.95742481785857,-161.76897569035705,59.9726063461602
1635,18528,932695.6255020481,93.26956255020481,3530,25.933458260329296,286.0105785837651,1190,1618,7720,8443,-161.42474127348245,59.98940484197323,-161.35979307844062,60.027852736133546
584,17436,877724.5750352823,87.77245750352823,3116,23.597935993668504,196.28928653360862,435,662,8765,9463,-161.33086732629198,60.075283783135056,-161.26816491946045,60.09567554008457
3726,17366,874200.7897489511,87.4200789748951,2539,19.266942555443446,89.97466313486122,3093,3275,1789,2232,-161.95753206849375,59.84055399939463,-161.91773670140725,59.856903337565605
2867,17091,860357.3475526501,86.03573475526501,2557,19.559015503673468,74.97653735884384,2224,2376,4180,4594,-161.74274488406078,59.92131254343697,-161.70555463129824,59.93496693575559
826,15667,788673.4868707139,78.86734868707138,1839,14.692266845140976,101.33401416991128,601,787,7106,7550,-161.47989783192742,60.064054842083564,-161.4400126333125,60.080763506368186
2281,15182,764258.6888154196,76.42586888154196,1231,9.990645736862765,66.6602555658016,1735,1898,4900,5240,-161.67806618360416,59.96425201401789,-161.6475234639441,59.97889455314903
3286,14933,751724.0811540416,75.17240811540415,2776,22.716735909980635,322.9368512690015,2561,2781,3772,4650,-161.77939614765285,59.88493077443013,-161.70052406570716,59.90469371068076
4886,14717,740850.6865562198,74.08506865562198,766,6.314211497429691,25.449751987497454,5885,6022,4147,4316,-161.74570932449836,59.59378679084699,-161.73052779619675,59.606093710239435
1070,14624,736169.0861043799,73.61690861043799,2992,24.74164094192028,223.52735229759298,771,1028,4589,5236,-161.70600378894028,60.042405443736286,-161.64788279005776,60.065492146538155
3438,14351,722426.3234876884,72.24263234876885,3296,27.51351774998007,1871.1674447773673,2694,3127,2517,4675,-161.89213471580985,59.8538490655996,-161.69827827749685,59.89274611740197
4086,14283,719003.2177809668,71.90032177809668,1501,12.559460203675771,37.31008891689421,4017,4177,4406,4611,-161.72244295863968,59.75952596076704,-161.70402749531522,59.773899005312956
4636,14043,706921.6682278314,70.69216682278314,1736,14.64939782080278,51.69151890621662,4987,5125,2700,2988,-161.87569554611048,59.67436567183252,-161.84982406592783,59.68676242275336
1779,14030,706267.25096037,70.62672509603699,2790,23.554580162134023,529.656165359943,1312,1726,9150,10099,-161.29628218785336,59.97970303690474,-161.21103206739042,60.01689328966729
2918,14029,706216.9111705652,70.62169111705651,2761,23.310578363778532,102.64452206144415,2259,2436,6656,7079,-161.52032201971278,59.91592265173225,-161.48232328319452,59.93182283226117
319,13565,682859.2487011702,68.28592487011701,1945,16.69973988421724,46.94463693328419,251,400,15599,15849,-160.7169586611247,60.09881964357899,-160.6945007790217,60.11220454131237
3025,13450,677070.1728736262,67.70701728736262,2012,17.34869588962329,123.72490706319702,2353,2525,4834,5307,-161.68399506447935,59.90792764570359,-161.6415047515405,59.923378668590445
1699,13346,671834.8347339343,67.18348347339342,1455,12.594688568157514,105.7503371796793,1245,1413,2884,3310,-161.85916654488267,60.007820305297685,-161.82089831377917,60.02291200207089
1473,13160,662471.6338302543,66.24716338302544,1694,14.76676832649956,45.7580547112462,1059,1204,4287,4530,-161.7331329105207,60.02659509473578,-161.7113038491166,60.03962066635551
3589,12823,645507.1246660601,64.55071246660602,1596,14.094123279000552,45.75809093035951,2851,2986,2052,2300,-161.9339063765214,59.86651531110568,-161.91162815747523,59.8786425674413
2438,12733,640976.5435836344,64.09765435836344,1970,17.458255964650647,89.2449540563889,1863,2050,5799,6145,-161.59730763956182,59.950597621699266,-161.5662259307313,59.9673961175123
1300,12097,608960.4372678257,60.89604372678257,1130,10.274000988167607,102.58708770769613,940,1166,3504,3835,-161.80347099726725,60.030008692815436,-161.7737367613629,60.05031061823654
